	right_pupil_validity	right_gaze_point_on_display_area	left_gaze_origin_validity	system_time_stamp	right_gaze_origin_in_user_coordinate_system	left_gaze_point_in_user_coordinate_system	left_gaze_origin_in_user_coordinate_system	left_pupil_validity	right_pupil_diameter	left_gaze_origin_in_trackbox_coordinate_system	right_gaze_point_in_user_coordinate_system	left_pupil_diameter	right_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_validity	left_gaze_point_on_display_area	right_gaze_origin_in_trackbox_coordinate_system	device_time_stamp
3376	1	(0.26824331283569336, 0.6386748552322388)	0	1565623388270000.0	(28.452167510986328, 43.944461822509766, 754.7935791015625)	(nan, nan, nan)	(nan, nan, nan)	0.0	2.83573913574	(nan, nan, nan)	(-138.35874938964844, 130.88294982910156, 39.591651916503906)		1.0	0.0	1.0	(nan, nan)	(0.44028595089912415, 0.3944239318370819, 0.7132137417793274)	1985238428.0
3377	1	(0.26824331283569336, 0.6386748552322388)	0	1565623388280000.0	(28.452167510986328, 43.944461822509766, 754.7935791015625)	(nan, nan, nan)	(nan, nan, nan)	0.0	2.83573913574	(nan, nan, nan)	(-138.35874938964844, 130.88294982910156, 39.591651916503906)		1.0	0.0	1.0	(nan, nan)	(0.44028595089912415, 0.3944239318370819, 0.7132137417793274)	1985249531.0
3378	1	(0.35384875535964966, 0.6439163684844971)	0	1565623388290000.0	(28.189746856689453, 43.36722946166992, 754.8526611328125)	(nan, nan, nan)	(nan, nan, nan)	0.0	3.23472595215	(nan, nan, nan)	(-87.25235748291016, 129.22898864746094, 38.98967742919922)		1.0	0.0	1.0	(nan, nan)	(0.4407925605773926, 0.3958854377269745, 0.7132455110549927)	1985260634.0
3379	1	(0.38922548294067383, 0.580812394618988)	0	1565623388300000.0	(27.98987579345703, 43.00000762939453, 754.9400024414062)	(nan, nan, nan)	(nan, nan, nan)	0.0	3.51553344727	(nan, nan, nan)	(-66.13240051269531, 149.14207458496094, 46.23745346069336)		1.0	0.0	1.0	(nan, nan)	(0.44118067622184753, 0.39682185649871826, 0.7133630514144897)	1985271737.0
3380	1	(0.38922548294067383, 0.580812394618988)	0	1565623388310000.0	(27.98987579345703, 43.00000762939453, 754.9400024414062)	(nan, nan, nan)	(nan, nan, nan)	0.0	3.51553344727	(nan, nan, nan)	(-66.13240051269531, 149.14207458496094, 46.23745346069336)		1.0	0.0	1.0	(nan, nan)	(0.44118067622184753, 0.39682185649871826, 0.7133630514144897)	1985282840.0
3381	1	(0.4002456068992615, 0.44881096482276917)	1	1565623388320000.0	(27.517736434936523, 42.51648712158203, 755.2236938476562)	(-47.468841552734375, 165.32334899902344, 52.126976013183594)	(-35.585304260253906, 50.59711837768555, 755.4861450195312)	1.0	3.74349975586	(0.5612949728965759, 0.3770259618759155, 0.7160285711288452)	(-59.553409576416016, 190.79653930664062, 61.398380279541016)	3.01837158203	1.0	1.0	1.0	(0.42048773169517517, 0.5295344591140747)	(0.44209882616996765, 0.3980759084224701, 0.7138397097587585)	1985293943.0
3382	1	(0.4066486656665802, 0.44636791944503784)	1	1565623388330000.0	(27.28166389465332, 42.38840103149414, 755.2210693359375)	(-48.98694610595703, 166.450439453125, 52.53717041015625)	(-35.68427276611328, 50.51053237915039, 755.3964233398438)	1.0	3.7647705078099998	(0.5614907145500183, 0.37722766399383545, 0.7158475518226624)	(-55.73078155517578, 191.56747436523438, 61.678985595703125)	3.0681915283200003	1.0	1.0	1.0	(0.41794484853744507, 0.5259628295898438)	(0.4425466060638428, 0.39839568734169006, 0.7138031125068665)	1985305046.0
3383	1	(0.4079136550426483, 0.45041561126708984)	1	1565623388340000.0	(27.16872787475586, 42.37217712402344, 755.0427856445312)	(-49.156429290771484, 180.98707580566406, 57.828086853027344)	(-35.787715911865234, 50.41519546508789, 755.2310791015625)	1.0	3.79913330078	(0.5617017149925232, 0.37743860483169556, 0.7155150175094604)	(-54.97555923461914, 190.2901611328125, 61.214088439941406)	3.1339111328099998	1.0	1.0	1.0	(0.4176609218120575, 0.4798967242240906)	(0.4427482783794403, 0.3984100818634033, 0.7134372591972351)	1985316150.0
3384	1	(0.407609760761261, 0.44916805624961853)	1	1565623388360000.0	(26.833911895751953, 42.38843536376953, 755.0393676757812)	(-51.55415725708008, 192.7315673828125, 62.10269546508789)	(-36.16530990600586, 50.18316650390625, 755.2088012695312)	1.0	3.8077239990199994	(0.5624192953109741, 0.37801483273506165, 0.7154756784439087)	(-55.15699768066406, 190.68385314941406, 61.357391357421875)	3.2032318115200002	1.0	1.0	1.0	(0.4136447012424469, 0.44267895817756653)	(0.4433816373348236, 0.3983646631240845, 0.7134084701538086)	1985327253.0
3385	1	(0.4076862931251526, 0.45162978768348694)	1	1565623388370000.0	(26.699298858642578, 42.43387222290039, 755.0963134765625)	(-49.568824768066406, 195.6922607421875, 63.1802978515625)	(-36.33171844482422, 50.12548065185547, 755.261474609375)	1.0	3.81083679199	(0.5627294182777405, 0.3781670033931732, 0.7155888676643372)	(-55.111289978027344, 189.90704345703125, 61.074642181396484)	3.24951171875	1.0	1.0	1.0	(0.4169701933860779, 0.4332965910434723)	(0.443639874458313, 0.3982565402984619, 0.7135177254676819)	1985338356.0
