[BeGaze]
Converted from:	E:\SMI from 3-25-15\MT430PN56168-[631e0eca-3d36-4d8c-a365-e1f44a5da588]\MT430PN56168-eye_data.idf
Date:	09.06.2015 15:27:25
Version:	BeGaze 3.5.90
Sample Rate:	120
Subject:	MT430PN56168
Description:	Run67
Stimulus:	mt430pn56168-scrrec.avi

Table Header for Fixations:
Event Type,Trial,Number,Start,End,Duration,Location X,Location Y,Dispersion X,Dispersion Y,AOI hit,Image,Plane,Avg. Pupil Size X,Avg. Pupil Size Y

Table Header for Saccades:
Event Type,Trial,Number,Start,End,Duration,Start Loc.X,Start Loc.Y,End Loc.X,End Loc.Y,Amplitude,Peak Speed,Peak Speed At,Average Speed,Peak Accel.,Peak Decel.,Average Accel.

Table Header for Blinks:
Event Type,Trial,Number,Start,End,Duration

Table Header for User Events:
Event Type,Trial,Number,Start,Description

UserEvent,1,1,167531284088,# Message: MT430PN56168-scrrec.avi
Saccade L,1,37,167549834184,167549859145,24961,954.65,1101.29,849.06,930.35,2.81,215.78,0.66,112.45,9922.40,-8232.75,6782.73
Saccade R,1,37,167549834184,167549859145,24961,954.65,1101.29,849.06,930.35,2.81,215.78,0.66,112.45,9922.40,-8232.75,6782.73
Fixation L,1,40,167549859145,167549959291,100146,834.99,869.37,21,77,-,-,-1,16.57,16.57
Fixation R,1,40,167549859145,167549959291,100146,834.99,869.37,21,77,-,-,-1,16.49,16.49
Saccade L,1,38,167549959291,167549967848,8557,827.45,853.53,826.39,853.77,0.05,8.12,1.00,5.41,-113.41,-232.18,165.81
Saccade R,1,38,167549959291,167549967848,8557,827.45,853.53,826.39,853.77,0.05,8.12,1.00,5.41,-113.41,-232.18,165.81
Fixation L,1,41,167549967848,167550176138,208290,826.64,851.98,14,6,-,-,-1,16.49,16.49
Fixation R,1,41,167549967848,167550176138,208290,826.64,851.98,14,6,-,-,-1,16.50,16.50
Saccade L,1,39,167550176138,167550242932,66794,838.31,848.20,947.16,630.28,4.85,208.07,0.13,72.62,11898.97,-9405.71,4636.48
Saccade R,1,39,167550176138,167550242932,66794,838.31,848.20,947.16,630.28,4.85,208.07,0.13,72.62,11898.97,-9405.71,4636.48
Fixation L,1,42,167550242932,167550343028,100096,937.27,607.46,50,48,-,-,-1,16.50,16.50
Fixation R,1,42,167550242932,167550343028,100096,937.27,607.46,50,48,-,-,-1,16.27,16.27
Saccade L,1,40,167550343028,167550426402,83374,952.28,608.08,896.00,580.01,2.47,115.22,1.00,29.68,5934.07,-3127.61,1558.10
Saccade R,1,40,167550343028,167550426402,83374,952.28,608.08,896.00,580.01,2.47,115.22,1.00,29.68,5934.07,-3127.61,1558.10
Fixation L,1,43,167550426402,167550518166,91764,869.33,528.50,34,64,-,-,-1,16.19,16.19
Fixation R,1,43,167550426402,167550518166,91764,869.33,528.50,34,64,-,-,-1,15.96,15.96
Saccade L,1,41,167550518166,167550526539,8373,861.39,517.45,859.64,517.40,0.03,4.63,0.00,3.15,10.23,-105.31,50.13
Saccade R,1,41,167550518166,167550526539,8373,861.39,517.45,859.64,517.40,0.03,4.63,0.00,3.15,10.23,-105.31,50.13
Fixation L,1,44,167550526539,167551077116,550577,835.79,532.94,58,41,-,-,-1,16.42,16.42
Fixation R,1,44,167550526539,167551077116,550577,835.79,532.94,58,41,-,-,-1,16.08,16.08
Saccade L,1,42,167551077116,167551085363,8247,806.20,555.73,807.60,556.92,0.02,3.95,1.00,2.92,97.82,-195.88,137.42
Saccade R,1,42,167551077116,167551085363,8247,806.20,555.73,807.60,556.92,0.02,3.95,1.00,2.92,97.82,-195.88,137.42
Fixation L,1,45,167551085363,167551702976,617613,812.12,558.00,14,18,-,-,-1,16.52,16.52
Fixation R,1,45,167551085363,167551702976,617613,812.12,558.00,14,18,-,-,-1,16.44,16.44
Saccade L,1,43,167551702976,167551752727,49751,813.56,566.71,662.57,610.64,6.07,231.48,0.50,122.11,10181.90,-8008.47,6015.61
Saccade R,1,43,167551702976,167551752727,49751,813.56,566.71,662.57,610.64,6.07,231.48,0.50,122.11,10181.90,-8008.47,6015.61
Fixation L,1,46,167551752727,167552111504,358777,634.53,622.37,42,52,-,-,-1,16.35,16.35
Fixation R,1,46,167551752727,167552111504,358777,634.53,622.37,42,52,-,-,-1,16.34,16.34
Saccade L,1,44,167552111504,167552119986,8482,624.42,663.17,622.79,669.56,0.29,44.46,0.00,34.18,643.31,-929.91,793.62
Saccade R,1,44,167552111504,167552119986,8482,624.42,663.17,622.79,669.56,0.29,44.46,0.00,34.18,643.31,-929.91,793.62
Fixation L,1,47,167552119986,167552370088,250102,637.64,716.82,27,68,-,-,-1,15.85,15.85
Fixation R,1,47,167552119986,167552370088,250102,637.64,716.82,27,68,-,-,-1,15.85,15.85
Saccade L,1,45,167552370088,167552378434,8346,649.86,738.08,652.19,746.84,0.15,26.97,0.00,17.57,506.34,-1096.70,797.97
Saccade R,1,45,167552370088,167552378434,8346,649.86,738.08,652.19,746.84,0.15,26.97,0.00,17.57,506.34,-1096.70,797.97
Fixation L,1,48,167552378434,167552561934,183500,658.11,760.39,10,24,-,-,-1,15.67,15.67
Fixation R,1,48,167552378434,167552561934,183500,658.11,760.39,10,24,-,-,-1,15.66,15.66
Saccade L,1,46,167552561934,167552570328,8394,661.36,770.60,660.03,875.52,0.64,144.52,1.00,76.70,8389.08,-5281.87,4675.65
Saccade R,1,46,167552561934,167552570328,8394,661.36,770.60,660.03,875.52,0.64,144.52,1.00,76.70,8389.08,-5281.87,4675.65
Fixation L,1,49,167552570328,167552678680,108352,614.97,879.58,61,36,-,-,-1,16.08,16.08
Fixation R,1,49,167552570328,167552678680,108352,614.97,879.58,61,36,-,-,-1,15.75,15.75
Saccade L,1,47,167552678680,167552687056,8376,606.17,892.39,605.85,894.75,0.06,8.74,1.00,7.07,-85.23,-179.45,141.86
Saccade R,1,47,167552678680,167552687056,8376,606.17,892.39,605.85,894.75,0.06,8.74,1.00,7.07,-85.23,-179.45,141.86
Fixation L,1,50,167552687056,167553012886,325830,601.58,910.28,39,22,-,-,-1,15.58,15.58
Fixation R,1,50,167552687056,167553012886,325830,601.58,910.28,39,22,-,-,-1,15.60,15.60
Saccade L,1,48,167553012886,167553070806,57920,565.86,906.50,288.50,716.39,13.12,488.03,0.57,226.44,16248.26,-24736.05,11667.27
Saccade R,1,48,167553012886,167553070806,57920,565.86,906.50,288.50,716.39,13.12,488.03,0.57,226.44,16248.26,-24736.05,11667.27
