right_pupil_validity;right_gaze_point_on_display_area;left_gaze_origin_validity;system_time_stamp;right_gaze_origin_in_user_coordinate_system;left_gaze_point_in_user_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_pupil_validity;right_pupil_diameter;left_gaze_origin_in_trackbox_coordinate_system;right_gaze_point_in_user_coordinate_system;left_pupil_diameter;right_gaze_origin_validity;left_gaze_point_validity;right_gaze_point_validity;left_gaze_point_on_display_area;right_gaze_origin_in_trackbox_coordinate_system;device_time_stamp 
1;(0.09004833549261093, 0.7567915320396423);1;1.5646661718e+15;(-13.018613815307617, 95.10919189453125, 641.7955932617188);(-266.6465148925781, 100.15225982666016, 28.40654945373535);(-75.01151275634766, 89.67762756347656, 636.6407470703125);1;3.1676940918;(0.6614378690719604, 0.23608806729316711, 0.4945736229419708);(-244.7411651611328, 93.61005401611328, 26.02539825439453);3.51420593262;1;1;1;(0.05335603281855583, 0.7360595464706421);(0.5224053859710693, 0.2228361815214157, 0.49787023663520813);493465511
1;(0.09000688046216965, 0.7565786242485046);1;1.56466617181e+15;(-12.67967414855957, 94.92284393310547, 641.5888671875);(-267.0314025878906, 100.2260971069336, 28.43345069885254);(-74.63806915283203, 89.54993438720703, 636.4365844726562);1;3.16479492188;(0.6606578826904297, 0.23638692498207092, 0.4940502941608429);(-244.76589965820312, 93.67724609375, 26.04985237121582);3.51040649414;1;1;1;(0.052711255848407745, 0.7358254194259644);(0.5216630697250366, 0.22330091893672943, 0.4973934292793274);493476614
1;(0.08920399844646454, 0.7533745169639587);1;1.56466617182e+15;(-12.473501205444336, 94.81476593017578, 641.4782104492188);(-267.6829528808594, 100.19657135009766, 28.42270278930664);(-74.52113342285156, 89.51790618896484, 636.38134765625);1;3.1614074707;(0.6604112386703491, 0.23646049201488495, 0.4939058721065521);(-245.24520874023438, 94.68829345703125, 26.417837142944336);3.50862121582;1;1;1;(0.051619820296764374, 0.7359188795089722);(0.5212105512619019, 0.223574697971344, 0.49713489413261414);493487717
1;(0.0915595144033432, 0.7565178871154785);1;1.56466617183e+15;(-12.306770324707031, 94.7608413696289, 641.4006958007812);(-268.36737060546875, 100.36041259765625, 28.48235321044922);(-74.3255615234375, 89.49571990966797, 636.3114013671875);1;3.16722106934;(0.6599923372268677, 0.23649939894676208, 0.4937170445919037);(-243.83897399902344, 93.69639587402344, 26.056812286376953);3.50762939453;1;1;1;(0.050473395735025406, 0.7353997230529785);(0.5208436250686646, 0.22370226681232452, 0.49695947766304016);493498820
1;(0.09138597548007965, 0.7614307403564453);1;1.56466617184e+15;(-11.982391357421875, 94.68495178222656, 641.1598510742188);(-267.4268798828125, 100.2343521118164, 28.43644142150879);(-73.97542572021484, 89.48824310302734, 636.0712890625);1;3.1724395752;(0.659271240234375, 0.23642444610595703, 0.4931623637676239);(-243.94259643554688, 92.14606475830078, 25.492538452148438);3.51319885254;1;1;1;(0.052048761397600174, 0.735799252986908);(0.5201327204704285, 0.223825141787529, 0.4964486062526703);493509924
1;(0.0929182842373848, 0.7590689659118652);1;1.56466617185e+15;(-11.767772674560547, 94.66582489013672, 641.0523071289062);(-267.6747741699219, 101.01254272460938, 28.719675064086914);(-73.86161804199219, 89.51480865478516, 636.0205688476562);1;3.17237854004;(0.6590293049812317, 0.23632507026195526, 0.49304381012916565);(-243.02780151367188, 92.89136505126953, 25.763803482055664);3.52043151855;1;1;1;(0.051633499562740326, 0.7333332300186157);(0.519659698009491, 0.22383704781532288, 0.4962224066257477);493521027
1;(0.09507730603218079, 0.7589588165283203);1;1.56466617186e+15;(-11.591039657592773, 94.67132568359375, 640.9676513671875);(-266.19451904296875, 100.81172943115234, 28.646591186523438);(-73.6717529296875, 89.5797348022461, 635.9419555664062);1;3.1770324707;(0.6586237549781799, 0.2361002415418625, 0.4928637742996216);(-241.73887634277344, 92.92613220214844, 25.77645492553711);3.52861022949;1;1;1;(0.054113056510686874, 0.7339696288108826);(0.519269585609436, 0.22378551959991455, 0.4960501790046692);493532130
1;(0.09538181126117706, 0.7559491991996765);1;1.56466617188e+15;(-11.230264663696289, 94.71761322021484, 640.94921875);(-266.7237243652344, 101.81383514404297, 29.01133918762207);(-73.30301666259766, 89.75440979003906, 635.9622802734375);1;3.17839050293;(0.6577909588813782, 0.23559145629405975, 0.4928683936595917);(-241.55706787109375, 93.87583923339844, 26.12213134765625);3.53289794922;1;1;1;(0.053226619958877563, 0.7307940125465393);(0.5184668302536011, 0.22364407777786255, 0.49601465463638306);493543233
1;(0.09431909769773483, 0.7598834037780762);1;1.56466617189e+15;(-10.97618579864502, 94.74800872802734, 640.8238525390625);(-266.3498840332031, 101.6031723022461, 28.93465805053711);(-73.16222381591797, 89.80419921875, 635.9041748046875);1;3.18141174316;(0.657490074634552, 0.23541980981826782, 0.4927360713481903);(-242.19151306152344, 92.63438415527344, 25.670276641845703);3.53135681152;1;1;1;(0.05385279282927513, 0.7314615249633789);(0.5179055333137512, 0.22350169718265533, 0.4957667291164398);493554336
1;(0.09161681681871414, 0.7596224546432495);1;1.5646661719e+15;(-10.756560325622559, 94.7390365600586, 640.6838989257812);(-266.3306884765625, 101.18102264404297, 28.781023025512695);(-72.92564392089844, 89.86689758300781, 635.7616577148438);1;3.17630004883;(0.6569960117340088, 0.23517495393753052, 0.4924195408821106);(-243.8047637939453, 92.71673583984375, 25.700231552124023);3.52587890625;1;1;1;(0.05388493835926056, 0.732799232006073);(0.5174217224121094, 0.22346927225589752, 0.4954799711704254);493565439
